Sample_Name	uL_Inputs
VSP0002-1a	1
VSP0001-1a	1
VSP0013-1a	1
VSP0008-1a	1
VSP0014-1a	1
VSP0015-1a	1
200518_H2O_RT-1a	1
200518_H20_PCR-1a	1
VSP0002-1b	1
VSP0001-1b	1
VSP0013-1b	1
VSP0008-1b	1
VSP0014-1b	1
VSP0015-1b	1
200518_H2O_RT-1b	1
200518_H20_PCR-1b	1
VSP0180-1a	1
VSP0181-1a	1
VSP0182-1a	1
VSP0183-1a	1
VSP0184-1a	1
VSP0185-1a	1
VSP0186-1a	1
200527_MockRNA-1a	1
VSP0180-1b	1
VSP0181-1b	1
VSP0182-1b	1
VSP0183-1b	1
VSP0184-1b	1
VSP0185-1b	1
VSP0186-1b	1
200527_MockRNA-1b	1
VSP0009-1a	1
VSP0010-1a	1
VSP0011-1a	1
VSP0012-1a	1
VSP0016-1a	1
VSP0017-1a	1
VSP0018-1a	1
VSP0002-2a	1
VSP0009-1b	1
VSP0010-1b	1
VSP0011-1b	1
VSP0012-1b	1
VSP0016-1b	1
VSP0017-1b	1
VSP0018-1b	1
VSP0002-2b	1
200527_H2O-1a	1
200527_H2O-1b	1
VSP0014-2a	1
VSP0014-2b	1
VSP0020-1a	1
VSP0021-1a	1
VSP0022-1a	1
VSP0029-1a	1
VSP0030-1a	1
VSP0033-1a	1
VSP0034-1a	1
VSP0037-1a	1
VSP0038-1a	1
VSP0039-1a	1
VSP0041-1a	1
VSP0042-1a	1
VSP0044-1a	1
VSP0002-3a	1
200609_H2O-1a	1
VSP0017-2a	1
VSP0020-1b	1
VSP0021-1b	1
VSP0022-1b	1
VSP0029-1b	1
VSP0030-1b	1
VSP0033-1b	1
VSP0034-1b	1
VSP0037-1b	1
VSP0038-1b	1
VSP0039-1b	1
VSP0041-1b	1
VSP0042-1b	1
VSP0044-1b	1
VSP0002-3b	1
200609_H2O-1b	1
VSP0017-2b	1
VSP0079-1	5
VSP0039-2	5
VSP0061-1	5
VSP0050-1	5
VSP0017-3	5
VSP0046-1	5
VSP0107-1	5
VSP0012-2	5
VSP0015-2	5
VSP0069-1	5
VSP0044-2	5
VSP0016-2	5
VSP0008-2	5
VSP0010-2	5
VSP0011-2	5
2006013_H2O-1	1
VSP0042-2	1
VSP0179-1	1
VSP0195-1	1
VSP0196-1	1
VSP0187-1	1
VSP0188-1	1
VSP0189-1	1
VSP0100-1	1
VSP0118-1	1
VSP0123-1	1
VSP0045-1	1
VSP0047-1	1
VSP0052-1	1
VSP0085-1	1
VSP0209-1	1
VSP0210-1	1
200618_H2O-1	1
VSP0102-1	1
VSP0143-1	1
VSP0155-1	1
VSP0163-1	1
VSP0177-1	1
VSP0176-1	1
VSP0202-1	1
VSP0086-1	1
200626_H2O	1
VSP0050-2	5
VSP0050-3	5
VSP0050-4	5
VSP0061-2	5
VSP0061-3	5
VSP0061-4	5
VSP0079-2	5
VSP0079-3	5
VSP0079-4	5
VSP0085-2	5
VSP0085-3	5
VSP0085-4	5
VSP0118-2	5
VSP0118-3	5
VSP0118-4	5
200703_H2O	5
VSP0033-2	5
VSP0107-2	5
VSP0069-2	5
VSP0188-2	5
VSP0086-2	5
VSP0086-3	5
VSP0037-2	5
VSP0034-2	5
VSP0017-4	1
VSP0017-5	1
VSP0017-6	1
VSP0010-3	1
VSP0010-4	1
VSP0010-5	1
VSP0022-2	5
200713_H2O	5
VSP0088-1	5
VSP0089-1	5
VSP0065-1	5
VSP0038-2	5
VSP0080-1	5
VSP0230-1	5
VSP0233-1	5
VSP0244-1	5
VSP0246-1	5
VSP0248-1	5
VSP0254-1	5
VSP0255-1	5
VSP0256-1	5
VSP0260-1	5
VSP0261-1	5
200724_H2O	5
VSP0282	5
VSP0283	5
VSP0284	5
VSP0285	5
VSP0286	5
VSP0287	5
VSP0288	5
VSP0289	5
VSP0290	5
VSP0291	5
VSP0292	5
VSP0293	5
VSP0294	5
VSP0295	5
VSP0296	5
VSP0297	5
200805_H2O	5
VSP0181-2	5
VSP0182-2	5
VSP0069-3	5
VSP0188-3	5
VSP0187-2	5
VSP0021-2	5
VSP0022-3	5
VSP0065-2	5
VSP0089-2	5
VSP0318-1	5
VSP0155-2	5
VSP0163-2	5
VSP0319-1	5
VSP0320-1	5
VSP0262-1	5
VSP0263-1	5
VSP0230-2	5
VSP0233-2	5
VSP0242-1	5
VSP0243-1	5
VSP0244-2	5
200824_H2O	5
